PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,FamilySize,Embarked_Q,Embarked_S,Pclass,Embarked_C,Family Size
1,0,,22.0,1,0,7.25,1,0,1,3,0,2
2,1,,38.0,1,0,71.2833,1,0,0,3,0,2
3,1,,26.0,0,0,7.925,0,0,1,3,0,1
4,1,,35.0,1,0,53.1,1,0,1,3,0,2
5,0,,35.0,0,0,8.05,0,0,1,3,0,1
6,0,,29.69911764705882,0,0,8.4583,0,1,0,3,0,1
7,0,,54.0,0,0,51.8625,0,0,1,3,0,1
8,0,,2.0,3,1,21.075,4,0,1,3,0,5
9,1,,27.0,0,2,11.1333,2,0,1,3,0,3
10,1,,14.0,1,0,30.0708,1,0,0,2,0,2
11,1,,4.0,1,1,16.7,2,0,1,3,0,3
12,1,,58.0,0,0,26.55,0,0,1,3,0,1
13,0,,20.0,0,0,8.05,0,0,1,3,0,1
14,0,,39.0,1,5,31.275,6,0,1,3,0,7
15,0,,14.0,0,0,7.8542,0,0,1,3,0,1
16,1,,55.0,0,0,16.0,0,0,1,2,0,1
17,0,,2.0,4,1,29.125,5,1,0,3,0,6
18,1,,29.69911764705882,0,0,13.0,0,0,1,2,0,1
19,0,,31.0,1,0,18.0,1,0,1,3,0,2
20,1,,29.69911764705882,0,0,7.225,0,0,0,3,0,1
21,0,,35.0,0,0,26.0,0,0,1,2,0,1
22,1,,34.0,0,0,13.0,0,0,1,2,0,1
23,1,,15.0,0,0,8.0292,0,1,0,3,0,1
24,1,,28.0,0,0,35.5,0,0,1,3,0,1
25,0,,8.0,3,1,21.075,4,0,1,3,0,5
26,1,,38.0,1,5,31.3875,6,0,1,3,0,7
27,0,,29.69911764705882,0,0,7.225,0,0,0,3,0,1
28,0,,19.0,3,2,263.0,5,0,1,3,0,6
29,1,,29.69911764705882,0,0,7.8792,0,1,0,3,0,1
30,0,,29.69911764705882,0,0,7.8958,0,0,1,3,0,1
31,0,,40.0,0,0,27.7208,0,0,0,3,0,1
32,1,,29.69911764705882,1,0,146.5208,1,0,0,3,0,2
33,1,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
34,0,,66.0,0,0,10.5,0,0,1,2,0,1
35,0,,28.0,1,0,82.1708,1,0,0,3,0,2
36,0,,42.0,1,0,52.0,1,0,1,3,0,2
37,1,,29.69911764705882,0,0,7.2292,0,0,0,3,0,1
38,0,,21.0,0,0,8.05,0,0,1,3,0,1
39,0,,18.0,2,0,18.0,2,0,1,3,0,3
40,1,,14.0,1,0,11.2417,1,0,0,3,0,2
41,0,,40.0,1,0,9.475,1,0,1,3,0,2
42,0,,27.0,1,0,21.0,1,0,1,2,0,2
43,0,,29.69911764705882,0,0,7.8958,0,0,0,3,0,1
44,1,,3.0,1,2,41.5792,3,0,0,2,0,4
45,1,,19.0,0,0,7.8792,0,1,0,3,0,1
46,0,,29.69911764705882,0,0,8.05,0,0,1,3,0,1
47,0,,29.69911764705882,1,0,15.5,1,1,0,3,0,2
48,1,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
49,0,,29.69911764705882,2,0,21.6792,2,0,0,3,0,3
50,0,,18.0,1,0,17.8,1,0,1,3,0,2
51,0,,7.0,4,1,39.6875,5,0,1,3,0,6
